lstm_units,num_lstm_layers,dense_units,test_mse,test_mae,n_params,model_size_kb,desktop_inference_ms_mean,desktop_inference_ms_median,desktop_inference_ms_std,desktop_inference_ms_p95
64,2,16,5.6004428188316524e-05,0.004911566153168678,50977,638.8515625,0.09031396799720824,0.08780199999455363,0.007982304163900585,0.1034908399626147
32,2,16,5.8129156968789175e-05,0.005068185273557901,13217,195.8359375,0.09835784200113266,0.09717850002925843,0.009746769962356,0.1161112850473728
32,1,16,4.54923247161787e-05,0.004358001984655857,4897,90.34375,0.0968373559974134,0.09267290000570938,0.010128936695299698,0.114077385031851
16,1,8,4.713690577773377e-05,0.004704508930444717,1297,48.3046875,0.10748872199561448,0.10416905005695298,0.013178139579151234,0.1292167049658019
8,1,4,3.482849569991231e-05,0.0036279766354709864,361,38.3046875,0.10385614800266922,0.10339034994831309,0.01216630330395638,0.1222035249811597
