n_estimators,max_depth,learning_rate,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,desktop_inference_ms_mean,desktop_inference_ms_median,desktop_inference_ms_std,desktop_inference_ms_p95,model_size_kb
300,7,0.08,0.799918196275516,0.005647889785482463,0.373093568566571,0.006838506883143282,0.7370213584047158,0.0056204410363606475,0.005863749501295388,0.005707999982405454,0.0008620504349238974,0.007577944948570802,2086.0771484375
200,7,0.08,0.7953935680630374,0.00680272716391895,0.3700651070568682,0.0066106102620682285,0.738363632688167,0.005723534352990614,0.00431926149816718,0.0041782999760471284,0.0006068585394839952,0.0053561950393486765,1426.09375
150,6,0.08,0.7798319837923309,0.007767246152834846,0.3587674909236974,0.008954013982909485,0.7366532513434308,0.0050447393783732645,0.003987189499312081,0.00330839998787269,0.002686048528108721,0.006723985081771388,648.95703125
100,5,0.08,0.7596591104194108,0.0058376548069812104,0.3432108661341912,0.008317137946115745,0.7332549152177432,0.004943485220957386,0.003911442999378778,0.003855750081129372,0.0008059558492914688,0.004943840036867186,262.3095703125
80,4,0.08,0.7443298935761605,0.005708480758636703,0.33348346819995167,0.008482486878042301,0.7286099562795727,0.006070306689677116,0.00268311700434424,0.0023025000118650496,0.0007061537284180524,0.003934684925479814,134.12890625
50,3,0.1,0.7303203295094478,0.004912473215643103,0.3243743583659021,0.007990803749940571,0.7226334741883838,0.005739130065903311,0.002976628997712396,0.0031054000137373805,0.0005973498649260079,0.0037703849549870936,57.970703125
